ticker,date,open,high,low,close,dollar_volume,volume,prev_close,gap_up,intraday_gain,sum_gap_intraday,exchange,shares_outstanding,sector,market_cap,dayofweek
CCXI,2019-11-26,34.8199996948242,36.8800010681152,26.7399997711182,30.7299995422363,894067826,29094300,8.0600004196167,332.009899280875,5.91614414516271,337.926043426038,nasdaq,58270000,Healthcare,469656224,Tue
CTIB,2020-01-06,1.05999994277954,4.1399998664856,1.00999999046326,2.59999990463257,59545978,22902300,0.839999973773956,26.1904733183702,290.566046223517,316.756519541887,nasdaq,3840000,Consumer Cyclical,3225600,Mon
AYTU,2020-03-10,13,29.8999996185303,9.10000038146973,20.5,377389215,18409230,3.5,271.428571428571,129.999997065618,401.428568494189,nasdaq,27830000,Healthcare,97405000,Tue
NBY,2020-03-19,0.310000002384186,1.58000004291534,0.300000011920929,1.5,80675100,53783400,0.300000011920929,3.33333002196433,409.677429278609,413.010759300573,Amex,27900000,Healthcare,8370000,Thur
BLPH,2020-03-20,25.6200008392334,26,14.7799997329712,18,169691400,9427300,3.39000010490417,655.752213758636,1.48321291303272,657.235426671669,nasdaq,4580000,Healthcare,15526200,Fri
BACK,2020-03-24,2,4.94999980926514,1.54999995231628,4.94999980926514,158630664,32046600,0.439999997615814,354.545457008456,147.499990463257,502.045447471713,nasdaq,8551741,Healthcare,3762766,Tue
ASTC,2020-03-25,3.64000010490417,7.75,3.29999995231628,4.05000019073486,189799614,46864100,1.12000000476837,225.000007982765,112.912081775998,337.912089758763,nasdaq,6350000,Industrials,7112000,Wed
BKYI,2020-03-27,16.7999992370605,20.6399993896484,8.07999992370606,8.39999961853027,55974027,6663575,4.32000017166138,288.888855775199,22.8571448034171,311.746000578616,nasdaq,14410000,Industrials,62251202,Fri
ECOR,2020-03-30,0.462000012397766,2.40000009536743,0.419999986886978,1.21000003814697,22672013,18737200,0.404000014066696,14.3564347305926,419.480526182565,433.836960913158,nasdaq,29510000,Healthcare,11922040,Mon
ICD,2020-04-09,2.64000010490417,13,2.64000010490417,6.25,157406250,25185000,2.40000009536743,9.99999999999998,392.424222857062,402.424222857062,nyse,3810000,Energy,9144000,Thur
WORX,2020-04-13,6.44999980926514,14.8800001144409,5.44999980926514,12.0200004577637,1156118502,96182900,2.25,186.666658189562,130.697683014912,317.364341204474,nasdaq,7100000,Healthcare,15975000,Mon
